trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2134529,8,249240,Gladstone,"0703",1,0703,108,
2134530,8,249240,Gladstone,"0705",1,0705,108,
2132327,8,249235,Summit,"0712",0,0712,8,
2132328,8,249235,Gladstone,"0713",1,0713,108,
2132329,8,249235,Summit,"0714",0,0714,8,
2132331,8,249235,Summit,"0716",0,0716,8,
2132332,8,249235,Gladstone,"0717",1,0717,108,
2132333,8,249235,Summit,"0718",0,0718,8,
2132336,8,249235,Summit,"0720",0,0720,8,
2132334,8,250049,Gladstone,"0721",1,0721,108,
2143140,8,250050,Gladstone,"0721",1,0721,108,
2144662,8,250046,Gladstone,"0723",1,0723,108,
2144661,8,250047,Gladstone,"0723",1,0723,108,
2132339,8,249235,Summit,"0724",0,0724,8,
2132340,8,249904,Gladstone,"0725",1,0725,108,
2132342,8,249235,Summit,"0726",0,0726,8,
2132343,8,249235,Gladstone,"0727",1,0727,108,
2132341,8,249235,Gladstone,"0729",1,0729,108,
2132345,8,249235,Summit,"0730",0,0730,8,
2132346,8,249235,Gladstone,"0731",1,0731,108,
2132349,8,249235,Summit,"0734",0,0734,8,
2132350,8,249235,Gladstone,"0735",1,0735,108,
2132352,8,249235,Gladstone,"0737",1,0737,108,
2132353,8,249235,Summit,"0738",0,0738,8,
2132355,8,249235,Summit,"0740",0,0740,8,
2132356,8,249235,Gladstone,"0741",1,0741,108,
2132358,8,249235,Summit,"0742",0,0742,8,
2132360,8,249235,Summit,"0744",0,0744,8,
2134521,8,249240,Gladstone,"0745",1,0745,108,
2134522,8,249240,Summit,"0746",0,0746,8,
2131431,7,249232,Hoboken,"0808",0,0808,7,
2131428,7,249232,Hackettstown,"0851",1,0851,107,
2131767,7,249232,Hoboken,"0852",0,0852,7,
2131434,7,249232,Hoboken,"0858",0,0858,7,
2131833,7,249232,Hoboken,"0872",0,0872,7,
2131436,7,249232,Hackettstown,"0877",1,0877,107,
2131438,7,249232,Hoboken,"0882",0,0882,7,
2134585,7,249361,Summit,"0951",1,0951,107,
2134571,7,249361,Hoboken,"0952",0,0952,7,
2134588,7,249361,Summit,"0955",1,0955,107,
2134590,7,249361,Summit,"0961",1,0961,107,
2134582,7,249361,Hoboken,"0962",0,0962,7,
2134583,7,249361,Hoboken,"0964",0,0964,7,
2134584,7,249361,Hoboken,"0966",0,0966,7,
2131914,2,249232,Hoboken,"1000",0,1000,2,
2131440,2,249232,Hoboken,"1006",0,1006,2,
